places,review,review_num
Keepers: Singapore Designer Collective,7 reviews,4.5
Jamae Mosque,98 reviews,3.5
Bikes n Sights,4 reviews,5
Hdb,16 reviews,4
InterContinental Singapore Heritage Trail,4 reviews,5
Maha Vihara Duta Maitreya Temple,301 reviews,4
Kranji Countryside,18 reviews,4
National Design Centre,34 reviews,4
My Fishing Frenzy Academy,108 reviews,4.5
PortaSpa,106 reviews,4.5
Offbeat Tours,21 reviews,5
The Olde Cuban,48 reviews,3.5
A Chef's Tour (Singapore),19 reviews,5
Singapore Symphony Orchestra,9 reviews,4.5
Sunflower Garden,110 reviews,4
Puteri Harbour,88 reviews,4
Sungei Road Thieves Market,28 reviews,3
Singapore Street Shots,17 reviews,5
Neuron,50 reviews,3.5
Fuk Tak Chi Museum,26 reviews,3.5
La Maison du Whisky,31 reviews,4
Anambas Islands,60 reviews,4.5
Hill Street Building,66 reviews,4
Phuket Orchid Farm,186 reviews,3.5
Bubble Soccer Singapore,15 reviews,4.5
Abdul Gaffoor Mosque,70 reviews,4
Holiday Plaza Mall,82 reviews,3
Singapore Coins And Notes Museum,7 reviews,3
Little Guilin,36 reviews,4
People's Park Complex,149 reviews,4
Go! Running Tours Singapore,4 reviews,5
SKAI Bar,18 reviews,5
SATS Premier Lounge,104 reviews,3.5
Cactus Garden,82 reviews,3.5
Ang Mo Kio Town,36 reviews,4
Food Prowlers,6 reviews,5
Sisters' Islands,13 reviews,3.5
The Pump Room,46 reviews,3.5
The Live Turtle and Tortoise Museum,102 reviews,3
Yoga Mala,34 reviews,4.5
Hat of Cain,38 reviews,5
i Light Marina Bay,49 reviews,4.5
Esplanade Bridge,73 reviews,4
Standard Chartered Marathon Singapore,18 reviews,3.5
Marina Country Club Singapore,8 reviews,3
HSBC Rain Vortex,41 reviews,4.5
Harley-Davidson of Singapore,4 reviews,5
Sunny Cove Dive Centre,24 reviews,5
Aroma River Spa,57 reviews,4.5
Mandai Track 15,6 reviews,5
BOB Marine Yacht Charters Singapore,4 reviews,4
IB HQ,30 reviews,5
My Odyssey Tours - Singapore One-Day Tour,7 reviews,5
Saugatuck Dune Rides,"2,149 reviews",5
Chimelong Safari Park,"1,387 reviews",4.5
Komodo National Park,794 reviews,4.5
Taipei Zoo,"3,191 reviews",4.5
Clique Gaming,5 reviews,5
Pulau Kukup National Park,78 reviews,3.5
Cenotaph,34 reviews,3.5
The Star Vista,89 reviews,4
Vine Vera,285 reviews,4.5
Gaomei Wetland,"1,178 reviews",4.5
Sahara Luxury Trips,424 reviews,5
Pink Blossoms Brewing,7 reviews,5
